項目名稱,簡介,合資格類別,完成/預計 完成年份,項目總預算 (百萬港元),截至2024- 25年度的 開支 (百萬港元),獲分配的 綠債資金 (截至2025年 8月31日) (百萬港元) [按債券顯示]1,主要預期效益
O •PARK1,建造香港第一所有機資源回收 中心，採用厭氧消化技術把 廚餘轉化為生物氣以作發電,廢物管理及 資源回收,2018,"1,589","1,434",282 [B1: 266 B20: 16],•每日200公噸廚餘的處理量 •每年最多可輸出1 400萬度電力 •每年最多可避免排放42 000公噸 二氧化碳當量的溫室氣體 •獲得綠建環評新建建築1.2版 最終鉑金級認證
西九龍政府 合署,建造雙塔式設計的全新政府 大樓，總建築樓面面積約為 98 000平方米，以容納多個 政府部門,綠色建築,2019,"4,743","3,611","1,783 [B1: 1,769 B28: 14]",•獲得綠建環評新建建築1.2版 最終鉑金級認證 •能源消耗量減少約41.9%（辦公 室）及47.2%（停車場）
稅務中心,建造一座全新的政府辦公 大樓，提供約45 000平方米 的淨作業樓面面積，並連接至 啟德發展區區域供冷系統,綠色建築,2022,"3,600","3,010","3,010 [B1: 386 B2: 792 B3: 791 B4: 396 B8: 580 B28: 65]",•獲得綠建環評新建建築1.2版 最終金級認證 •二氧化碳減排量達到約35.0%
新圍污水處理 廠改善工程－ 第1期,把污水處理水平由基本處理 提升至加設紫外線消毒的化學 強化一級處理。每日污水處理 量由164 000立方米增至 200 000立方米,水及廢水管理,2020,"2,572","1,965","1,428 [B1: 886 B2: 180 B3: 180 B4: 90 B8: 69 B28: 23]",•每日污水處理量增加 36 000立方米 •每年循環再用水275 000立方米 •獲得綠建環評新建建築1.2版 最終鉑金級認證
在東涌及 小蠔灣之間 增建一條加壓 污水管及修 復現有加壓 污水管,在東涌污水泵房及小蠔灣 污水處理廠之間分別新建 一條長約6.5公里及修復現有 長約6.5公里的加壓污水管， 使每日輸送量由60 000立方米 增至120 000立方米,水及廢水管理,2025,"1,363",800,710 [B1: 241 B2: 70 B3: 70 B4: 35 B9: 144 B28: 150],•每日污水輸送量增加 60 000立方米 •預計約16.5萬人可受惠
啟德發展區 區域供冷系統,於啟德發展區建造首個區域 供冷系統，即大型高效節能的 中央空調系統，為啟德發展區 內多座建築物提供供冷服務,能源效益和 節約能源,2025,"4,946","4,484","1,209 [B1: 501 B2: 515 B6: 72 B8: 28 B9: 28 B29: 65]",•與氣冷式空調系統比較 能提升能源效益35% •每年節省8 500萬度電力 •每年避免或減少排放59 500公噸 二氧化碳當量的溫室氣體
O •PARK2,建造香港第二所有機資源回收 中心，採用厭氧消化技術把有 機廢物轉化為生物氣以作發電,廢物管理及 資源回收,2024,"2,584","2,454","2,454 [B2: 690 B3: 690 B4: 345 B5: 123 B6: 196 B7: 74 B8: 49 B9: 101 B10: 100 B32: 40 B33: 46]",•每日300公噸有機廢物的處理量 •每年最多可輸出2 400萬度電力 •每年最多可避免排放67 000公噸 二氧化碳當量的溫室氣體 •獲得綠建環評新建建築1.2版 暫定鉑金級認證
庫務大樓,建造一座樓高22層的全新政府 大樓，提供約26 500平方米 的淨作業樓面面積以容納不 同的政策局及部門的辦公室、 普通科門診診所、幼兒中心及 長者日間護理中心等設施,綠色建築,2022,"2,281","1,610","1,568 [B2: 583 B3: 645 B4: 322 B5: 18]",•獲得綠建環評新建建築1.2版 最終金級認證 •能源消耗量減少約27.89%（辦公 室）及31.82%（停車場）
瑪麗醫院 第一期重建 計劃,在現時的瑪麗醫院附近 興建一座新醫院大樓及相關 設施，總建築樓面面積約 143 000平方米，以提升瑪麗 醫院的醫療服務能力,綠色建築,2024,"13,556","7,496","7,496 [B2: 1,555 B3: 1,026 B4: 481 B6: 1,728 B28: 2,706]",•獲得綠建環評新建建築1.2版 暫定金級認證 •二氧化碳減排量達到約 18.2%（醫院）及29.3%（停車場）
東九文化中心,建造全新的文化中心，建築 樓面面積約50 900平方米， 為社區提供多項文化設施和 服務以及公眾休憩用地,綠色建築,2023,"4,176","2,918","2,531 [B2: 783 B3: 722 B4: 361 B9: 372 B28: 293]",•獲得綠建環評新建建築1.1版 暫定金級認證 •能源消耗量減少約13.2%
